arm,horizon,development_raw_speedup,cumulative_tokens,cumulative_wall_seconds,proposal_valid_rate,selected_generation,candidate_sha256,candidate_path
shinka,3,1.9294650062209469,52686,437.45064425468445,1.0,2,89ed91a24b9a56177ee9053ca528648fba29b5359c27c0d0a3f4f5bf4c9aa9ac,candidates/shinka/h003.py
shinka,6,1.9406581133213683,107547,730.8166222572327,1.0,4,ad6cbc83fdbd031bb663f0511a021c5c65d4e2446cd46ae561be1cc21771410d,candidates/shinka/h006.py
shinka,12,3.047825731605156,217427,1330.0421032905579,1.0,12,8eadb7300ad833d9ecf0cd66661f5da20cdcb9edc1efcd69898433425acfe854,candidates/shinka/h012.py
shinka,24,3.2988025478498284,457048,2454.6209602355957,1.0,15,e643adae1abcb5f092fcab6ff8c031a41429b60cf6a2ab045a8cb2da13ca7e35,candidates/shinka/h024.py
shinka,50,3.4927489677865062,1032255,6554.939554275945,0.98,47,8c3febf7aae980a04f9dd3e321d3049143153dcb3e3e850c5c8a5ad8d74c9889,candidates/shinka/h050.py
ada,3,1.3991502267678673,55438,416.98209595680237,1.0,1,e36c3727b6fbf302b8064ad5113561942dd596611a7f7960a478bb1f8a8e9995,candidates/ada/h003.py
ada,6,2.200922874267871,141222,854.1073181629181,1.0,5,86b74c4c473b6f12c20b95093c9797759123241ae348ac47aa634c655a65f644,candidates/ada/h006.py
ada,12,2.7685195603557324,287838,1581.7483627796173,1.0,11,bda9915f27949e2e7e710cf724c570b61e6c724fd12cbf4fc6065b26cda63f52,candidates/ada/h012.py
ada,24,3.3239766686234478,594839,2775.6333651542664,1.0,24,cb8eb45d9cb14e75a1078de142543237e0fdca6d9754c3a2eb24b03bba10848e,candidates/ada/h024.py
ada,50,7.051806115717637,1240486,6843.314620751888,1.0,50,77f089ba8ead2291ca1747bb856f18a86890c8a2e63f083130c155674672a27c,candidates/ada/h050.py
evox,3,1.5212134737756882,125988,404.833931684494,0.6666666666666666,2,05d0d75cadd784369dd15b8c6d2937c9b3cac83d7eddd989953c68aeb54f498a,candidates/evox/h003.py
evox,6,1.5212134737756882,198523,708.2716572284698,0.8333333333333334,2,05d0d75cadd784369dd15b8c6d2937c9b3cac83d7eddd989953c68aeb54f498a,candidates/evox/h006.py
evox,12,1.5590172358891596,429918,1418.797038078308,0.9166666666666666,12,4a5bcec284c4c98b1fa77637f62e7b98100b90d76bdbea99aab97d731b2ee6ad,candidates/evox/h012.py
evox,24,2.4085179593007084,761252,2648.4044721126556,0.9583333333333334,20,64aba27e194fce27e8c9b1e419a61e065de3dba99fde7eff9309ad25fc867c03,candidates/evox/h024.py
evox,50,13.481768854588,1698566,7143.640538625419,0.96,50,8a82dec6db9fab31e365ee45ac7e05f1647005ca32fc6e342969a707c3c7f8fd,candidates/evox/h050.py
evidence_evolve,3,0.9988150324616487,353166,493.962082862854,0.0,0,020a82914a74756909cd7be8603544754c350894e44a682b31651885c395d853,candidates/evidence_evolve/h003.py
evidence_evolve,6,0.9988150324616487,675538,879.8719990253448,0.0,0,020a82914a74756909cd7be8603544754c350894e44a682b31651885c395d853,candidates/evidence_evolve/h006.py
evidence_evolve,12,1.0271824527267341,1621263,1872.8726460933685,0.4166666666666667,9,e5b94b78bbdc4cb88ab9844fa6075973f8b88e69b434c693d68fb035c0344574,candidates/evidence_evolve/h012.py
evidence_evolve,24,1.0271824527267341,3590428,4432.0934047698975,0.7083333333333334,9,e5b94b78bbdc4cb88ab9844fa6075973f8b88e69b434c693d68fb035c0344574,candidates/evidence_evolve/h024.py
evidence_evolve,50,1.0271824527267341,8259522,9822.992880482227,0.72,9,e5b94b78bbdc4cb88ab9844fa6075973f8b88e69b434c693d68fb035c0344574,candidates/evidence_evolve/h050.py
